lineIdx,busIdx,busArea,busName,busXcoord,busYcoord,order
Line_25,29,1,NORTHFIELD,-72.726,42.482,1
Line_33,37,2,NEW SEATHED,-73.923,42.494,1
Line_34,37,2,NEW SEATHED,-73.923,42.494,1
Line_35,37,2,NEW SEATHED,-73.923,42.494,1
Line_219,40,2,NEW SEATHED,-74.066,42.646,1
Line_41,41,2,ROTTERDAM,-73.78,43.086,1
Line_36,37,2,NEW SEATHED,-73.923,42.494,1
Line_40,40,2,NEW SEATHED,-74.066,42.646,1
Line_43,43,2,EDIC,-75.24,42.894,1
Line_42,41,2,ROTTERDAM,-73.78,43.086,1
Line_46,44,2,PORTER,-75.136,43.013,1
Line_48,45,2,PORTER,-75.24,43.131,1
Line_51,46,2,COLTON,-75.051,44.428,1
Line_47,44,2,PORTER,-75.136,43.013,1
Line_53,47,2,MOSES W,-75.211,44.654,1
Line_220,49,2,PLATTSBURGH,-74.134,44.699,1
Line_52,46,2,COLTON,-75.051,44.428,1
Line_44,43,2,EDIC,-75.24,42.894,1
Line_45,43,2,EDIC,-75.24,42.894,1
Line_49,45,2,PORTER,-75.24,43.131,1
Line_54,50,2,CLAY,-76.333,43.306,1
Line_55,50,2,CLAY,-76.333,43.306,1
Line_222,54,2,NIAGARA W,-78.352,43.125,1
Line_56,51,2,CLAY,-76.261,42.939,1
Line_58,52,2,ROCHESTER,-77.482,43.312,1
Line_59,53,2,ROCHESTER,-77.777,42.889,1
Line_223,54,2,NIAGARA W,-78.352,43.125,1
Line_61,54,2,NIAGARA W,-78.352,43.125,1
Line_65,55,2,NIAGARA E,-78.591,42.996,1
Line_224,56,2,HUNTLEY,-78.743,43.312,1
Line_67,56,2,HUNTLEY,-78.743,43.312,1
Line_66,55,2,NIAGARA E,-78.591,42.996,1
Line_68,57,2,HUNTLEY,-79.125,42.911,1
Line_225,58,2,GARDENVILLE,-79.133,42.714,1
Line_69,58,2,GARDENVILLE,-79.133,42.714,1
Line_71,59,2,GARDENVILLE,-78.797,42.561,1
Line_226,60,2,DUNKIRK,-79.315,42.33,1
Line_62,54,2,NIAGARA W,-78.352,43.125,1
Line_70,58,2,GARDENVILLE,-79.133,42.714,1
Line_73,62,2,STOLLE RD,-78.255,42.708,1
Line_74,63,2,MEYER,-77.824,42.42,1
Line_60,53,2,ROCHESTER,-77.777,42.889,1
Line_76,64,2,MEYER,-77.592,42.409,1
Line_75,63,2,MEYER,-77.824,42.42,1
Line_78,66,2,WATERCURE,-76.203,41.862,1
Line_77,64,2,MEYER,-77.592,42.409,1
Line_81,67,2,WRHL,-77.041,41.952,1
Line_37,38,2,GILBOA,-74.88,42.336,1
Line_79,66,2,WATERCURE,-76.203,41.862,1
Line_82,67,2,WRHL,-77.041,41.952,1
Line_50,45,2,PORTER,-75.24,43.131,1
Line_84,68,2,HILLSIDE,-76.714,42.15,1
Line_85,69,2,BINGHAMTON,-75.397,42.009,1
Line_86,70,2,BINGHAMTON,-75.988,42.014,1
Line_57,51,2,CLAY,-76.261,42.939,1
Line_87,71,2,BINGHAMTON,-75.789,42.33,1
Line_32,35,1,SOUTHINGTEN,-73.187,41.563,1
Line_38,39,2,LEEDS,-74.001,42.042,1
Line_39,39,2,LEEDS,-74.001,42.042,1
Line_88,73,3,PLEASANT VLY,-73.641,41.58,1
Line_89,73,3,PLEASANT VLY,-73.641,41.58,1
Line_227,75,3,RAMAPO,-74.861,41.078,1
Line_90,74,3,MILLWOOD,-73.769,41.304,1
Line_94,76,3,RAMAPO,-74.311,41.174,1
Line_91,74,3,MILLWOOD,-73.769,41.304,1
Line_92,74,3,MILLWOOD,-73.769,41.304,1
Line_95,78,3,CE UG,-73.424,40.773,1
Line_96,78,3,CE UG,-73.424,40.773,1
Line_97,78,3,CE UG,-73.424,40.773,1
Line_98,78,3,CE UG,-73.424,40.773,1
Line_228,84,4,KEITH JCT,-83.24,41.975,1
Line_230,87,4,LAMBTON,-82.61,42.437,1
Line_229,85,4,LAMBTON,-82.443,42.544,1
Line_103,85,4,LAMBTON,-82.443,42.544,1
Line_104,85,4,LAMBTON,-82.443,42.544,1
Line_110,88,4,SCOTT,-81.917,42.81,1
Line_113,89,4,SCOTT,-82.205,42.911,1
Line_117,91,4,RICHVIEW,-79.406,43.876,1
Line_118,91,4,RICHVIEW,-79.406,43.876,1
Line_123,93,4,ESSA,-79.639,44.733,1
Line_119,91,4,RICHVIEW,-79.406,43.876,1
Line_124,93,4,ESSA,-79.639,44.733,1
Line_126,95,4,DES JOAC,-78.102,46.087,1
Line_122,92,4,HANMER,-81.095,46.482,1
Line_127,96,4,HOLDEN,-79.523,46.194,1
Line_120,91,4,RICHVIEW,-79.406,43.876,1
Line_128,98,4,STLA,-75.953,44.637,1
Line_221,48,2,MOSES E,-74.821,44.846,1
Line_129,99,4,PVR,-75.372,44.976,1
Line_63,54,2,NIAGARA W,-78.352,43.125,1
Line_231,101,4,SAB 2,-79.843,42.917,1
Line_64,54,2,NIAGARA W,-78.352,43.125,1
Line_232,101,4,SAB 2,-79.843,42.917,1
Line_130,101,4,SAB 2,-79.843,42.917,1
Line_105,85,4,LAMBTON,-82.443,42.544,1
Line_106,85,4,LAMBTON,-82.443,42.544,1
Line_111,88,4,SCOTT,-81.917,42.81,1
Line_112,88,4,SCOTT,-81.917,42.81,1
Line_114,89,4,SCOTT,-82.205,42.911,1
Line_131,101,4,SAB 2,-79.843,42.917,1
Line_136,104,4,BEACH,-80.019,43.148,1
Line_138,105,4,BUCHANAN,-81.486,42.731,1
Line_132,101,4,SAB 2,-79.843,42.917,1
Line_139,105,4,BUCHANAN,-81.486,42.731,1
Line_133,101,4,SAB 2,-79.843,42.917,1
Line_134,101,4,SAB 2,-79.843,42.917,1
Line_121,91,4,RICHVIEW,-79.406,43.876,1
Line_135,101,4,SAB 2,-79.843,42.917,1
Line_137,104,4,BEACH,-80.019,43.148,1
Line_143,107,4,NEALE,-80.793,42.99,1
Line_144,108,4,S CT,-79.781,43.706,1
Line_146,109,4,SLT,-79.94,43.34,1
Line_125,94,4,ORANGEVILLE,-80.101,44,1
Line_140,105,4,BUCHANAN,-81.486,42.731,1
Line_145,108,4,S CT,-79.781,43.706,1
Line_147,109,4,SLT,-79.94,43.34,1
Line_100,83,4,KEITH,-82.905,42.11,1
Line_107,85,4,LAMBTON,-82.443,42.544,1
Line_108,85,4,LAMBTON,-82.443,42.544,1
Line_141,105,4,BUCHANAN,-81.486,42.731,1
Line_101,83,4,KEITH,-82.905,42.11,1
Line_115,89,4,SCOTT,-82.205,42.911,1
Line_142,105,4,BUCHANAN,-81.486,42.731,1
Line_148,112,4,CHATHAM,-81.565,42.206,1
Line_116,90,4,VIDA,-82.468,43.255,1
Line_109,87,4,LAMBTON,-82.61,42.437,1
Line_102,84,4,KEITH JCT,-83.24,41.975,1
Line_152,115,5,ST CLAIR,-82.77,42.629,1
Line_149,114,5,MARYSVILLE,-82.763,42.911,1
Line_153,115,5,ST CLAIR,-82.77,42.629,1
Line_159,116,5,WATERMAN,-82.921,42.324,1
Line_154,115,5,ST CLAIR,-82.77,42.629,1
Line_160,116,5,WATERMAN,-82.921,42.324,1
Line_164,117,5,PONTIAC,-83.488,42.573,1
Line_150,114,5,MARYSVILLE,-82.763,42.911,1
Line_155,115,5,ST CLAIR,-82.77,42.629,1
Line_165,117,5,PONTIAC,-83.488,42.573,1
Line_161,116,5,WATERMAN,-82.921,42.324,1
Line_166,117,5,PONTIAC,-83.488,42.573,1
Line_169,118,5,WAYNE,-83.495,42.127,1
Line_173,119,5,THETFORD,-83.633,43.109,1
Line_151,114,5,MARYSVILLE,-82.763,42.911,1
Line_156,115,5,ST CLAIR,-82.77,42.629,1
Line_162,116,5,WATERMAN,-82.921,42.324,1
Line_167,117,5,PONTIAC,-83.488,42.573,1
Line_170,118,5,WAYNE,-83.495,42.127,1
Line_174,119,5,THETFORD,-83.633,43.109,1
Line_163,116,5,WATERMAN,-82.921,42.324,1
Line_168,117,5,PONTIAC,-83.488,42.573,1
Line_171,118,5,WAYNE,-83.495,42.127,1
Line_175,121,5,SC415,-83.145,42.494,1
Line_172,118,5,WAYNE,-83.495,42.127,1
Line_93,75,3,RAMAPO,-74.861,41.078,1
Line_99,81,3,GOETHALS,-73.775,40.491,1
Line_178,124,6,BRANCHBURG,-74.709,40.627,1
Line_179,124,6,BRANCHBURG,-74.709,40.627,1
Line_182,125,6,LINDON,-74.301,40.486,1
Line_180,124,6,BRANCHBURG,-74.709,40.627,1
Line_184,126,6,HUDSON,-74.047,40.892,1
Line_181,124,6,BRANCHBURG,-74.709,40.627,1
Line_183,125,6,LINDON,-74.301,40.486,1
Line_185,126,6,HUDSON,-74.047,40.892,1
Line_187,127,6,ALBURTIS,-75.706,40.779,1
Line_189,128,6,WHITPAIN,-75.202,40.136,1
Line_190,128,6,WHITPAIN,-75.202,40.136,1
Line_191,129,6,KEENEY,-75.68,39.837,1
Line_192,130,6,PEACH BOTTOM,-76.079,39.91,1
Line_188,127,6,ALBURTIS,-75.706,40.779,1
Line_193,130,6,PEACH BOTTOM,-76.079,39.91,1
Line_194,131,6,CONASTONE,-76.518,39.961,1
Line_197,132,6,JUNIATA,-77.389,40.638,1
Line_80,66,2,WATERCURE,-76.203,41.862,1
Line_198,132,6,JUNIATA,-77.389,40.638,1
Line_157,115,5,ST CLAIR,-82.77,42.629,1
Line_176,122,5,WATERMAN,-83.201,42.319,1
Line_195,131,6,CONASTONE,-76.518,39.961,1
Line_199,132,6,JUNIATA,-77.389,40.638,1
Line_201,133,6,CONEMAUGH,-79.096,40.435,1
Line_202,134,6,HOMER CITY,-78.826,41.072,1
Line_203,134,6,HOMER CITY,-78.826,41.072,1
Line_233,137,6,ERIE S,-79.953,42.133,1
Line_83,67,2,WRHL,-77.041,41.952,1
Line_186,126,6,HUDSON,-74.047,40.892,1
Line_200,132,6,JUNIATA,-77.389,40.638,1
Line_206,137,6,ERIE S,-79.953,42.133,1
Line_158,115,5,ST CLAIR,-82.77,42.629,1
Line_177,122,5,WATERMAN,-83.201,42.319,1
Line_196,131,6,CONASTONE,-76.518,39.961,1
Line_204,135,6,KEYSTONE,-79.408,40.785,1
Line_205,136,6,ERIE W,-80.295,41.665,1
Line_72,60,2,DUNKIRK,-79.315,42.33,1
Line_1,2,1,MONTVILLE,-72.297,41.298,2
Line_208,2,1,MONTVILLE,-72.297,41.298,2
Line_2,4,1,MONTVILLE,-71.798,41.275,2
Line_209,4,1,MONTVILLE,-71.798,41.275,2
Line_4,5,1,CARD ST,-72.078,41.76,2
Line_5,6,1,SHERMAN RD,-71.616,41.969,2
Line_7,7,1,MEDWAY,-71.249,42.206,2
Line_8,8,1,MILLBURY,-71.672,42.189,2
Line_12,9,1,CARPENTER HL,-72.039,42.088,2
Line_9,10,1,BRAYTON PT,-71.089,41.648,2
Line_210,11,1,BRAYTON PT,-71.455,41.507,2
Line_10,12,1,BRIDGEWATER,-71.129,41.975,2
Line_15,13,1,PILGRIM,-70.49,41.71,2
Line_16,14,1,CANAL,-70.163,41.721,2
Line_11,15,1,WALPOLA,-70.723,42.229,2
Line_17,15,1,WALPOLA,-70.723,42.229,2
Line_18,17,1,SCOBIE,-71.442,42.826,2
Line_13,18,1,SANDY POND,-71.298,42.528,2
Line_20,18,1,SANDY POND,-71.298,42.528,2
Line_21,19,1,POWNAL,-70.589,43.114,2
Line_22,20,1,MAINE YANKEE,-69.833,43.864,2
Line_23,20,1,MAINE YANKEE,-69.833,43.864,2
Line_207,21,1,MILLSTONE PT,-72.404,41.005,2
Line_211,22,1,BRAYTON PT,-70.881,41.411,2
Line_212,23,1,BRAYTON PT,-71.343,41.349,2
Line_213,24,1,PILGRIM,-70.538,41.467,2
Line_214,25,1,CANAL,-70.187,41.399,2
Line_216,26,1,MAINE YANKEE,-69.506,43.893,2
Line_215,27,1,VERMONT YNK,-72.91,43.001,2
Line_19,29,1,NORTHFIELD,-72.726,42.482,2
Line_217,29,1,NORTHFIELD,-72.726,42.482,2
Line_14,30,1,LUDLOW,-72.582,42.178,2
Line_24,30,1,LUDLOW,-72.582,42.178,2
Line_6,31,1,MANCHESTER,-72.581,41.839,2
Line_26,31,1,MANCHESTER,-72.581,41.839,2
Line_27,32,1,SCOVILL ROCK,-72.772,41.619,2
Line_3,33,1,HADDAM NECK,-72.556,41.371,2
Line_28,33,1,HADDAM NECK,-72.556,41.371,2
Line_30,34,1,BLACK POND,-72.987,41.304,2
Line_29,35,1,SOUTHINGTEN,-73.187,41.563,2
Line_31,35,1,SOUTHINGTEN,-73.187,41.563,2
Line_218,36,1,CONN YANKEE,-72.643,41.174,2
Line_25,37,2,NEW SEATHED,-73.923,42.494,2
Line_33,38,2,GILBOA,-74.88,42.336,2
Line_34,39,2,LEEDS,-74.001,42.042,2
Line_35,40,2,NEW SEATHED,-74.066,42.646,2
Line_219,41,2,ROTTERDAM,-73.78,43.086,2
Line_41,42,2,ALBANY,-73.628,42.702,2
Line_36,43,2,EDIC,-75.24,42.894,2
Line_40,44,2,PORTER,-75.136,43.013,2
Line_43,44,2,PORTER,-75.136,43.013,2
Line_42,45,2,PORTER,-75.24,43.131,2
Line_46,45,2,PORTER,-75.24,43.131,2
Line_48,46,2,COLTON,-75.051,44.428,2
Line_51,47,2,MOSES W,-75.211,44.654,2
Line_47,48,2,MOSES E,-74.821,44.846,2
Line_53,48,2,MOSES E,-74.821,44.846,2
Line_220,48,2,MOSES E,-74.821,44.846,2
Line_52,49,2,PLATTSBURGH,-74.134,44.699,2
Line_44,50,2,CLAY,-76.333,43.306,2
Line_45,50,2,CLAY,-76.333,43.306,2
Line_49,51,2,CLAY,-76.261,42.939,2
Line_54,51,2,CLAY,-76.261,42.939,2
Line_55,52,2,ROCHESTER,-77.482,43.312,2
Line_222,52,2,ROCHESTER,-77.482,43.312,2
Line_56,53,2,ROCHESTER,-77.777,42.889,2
Line_58,53,2,ROCHESTER,-77.777,42.889,2
Line_59,55,2,NIAGARA E,-78.591,42.996,2
Line_223,55,2,NIAGARA E,-78.591,42.996,2
Line_61,56,2,HUNTLEY,-78.743,43.312,2
Line_65,57,2,HUNTLEY,-79.125,42.911,2
Line_224,57,2,HUNTLEY,-79.125,42.911,2
Line_67,58,2,GARDENVILLE,-79.133,42.714,2
Line_66,59,2,GARDENVILLE,-78.797,42.561,2
Line_68,59,2,GARDENVILLE,-78.797,42.561,2
Line_225,59,2,GARDENVILLE,-78.797,42.561,2
Line_69,60,2,DUNKIRK,-79.315,42.33,2
Line_71,61,2,DUNKIRK,-78.828,42.234,2
Line_226,61,2,DUNKIRK,-78.828,42.234,2
Line_62,62,2,STOLLE RD,-78.255,42.708,2
Line_70,62,2,STOLLE RD,-78.255,42.708,2
Line_73,63,2,MEYER,-77.824,42.42,2
Line_74,64,2,MEYER,-77.592,42.409,2
Line_60,65,2,GESONIDGE,-76.978,42.629,2
Line_76,65,2,GESONIDGE,-76.978,42.629,2
Line_75,67,2,WRHL,-77.041,41.952,2
Line_78,67,2,WRHL,-77.041,41.952,2
Line_77,68,2,HILLSIDE,-76.714,42.15,2
Line_81,68,2,HILLSIDE,-76.714,42.15,2
Line_37,69,2,BINGHAMTON,-75.397,42.009,2
Line_79,69,2,BINGHAMTON,-75.397,42.009,2
Line_82,70,2,BINGHAMTON,-75.988,42.014,2
Line_50,71,2,BINGHAMTON,-75.789,42.33,2
Line_84,71,2,BINGHAMTON,-75.789,42.33,2
Line_85,71,2,BINGHAMTON,-75.789,42.33,2
Line_86,71,2,BINGHAMTON,-75.789,42.33,2
Line_57,72,2,LAPEER,-76.093,42.635,2
Line_87,72,2,LAPEER,-76.093,42.635,2
Line_32,73,3,PLEASANT VLY,-73.641,41.58,2
Line_38,73,3,PLEASANT VLY,-73.641,41.58,2
Line_39,73,3,PLEASANT VLY,-73.641,41.58,2
Line_88,74,3,MILLWOOD,-73.769,41.304,2
Line_89,74,3,MILLWOOD,-73.769,41.304,2
Line_227,76,3,RAMAPO,-74.311,41.174,2
Line_90,77,3,BUCHANAN,-74.12,41.36,2
Line_94,77,3,BUCHANAN,-74.12,41.36,2
Line_91,78,3,CE UG,-73.424,40.773,2
Line_92,78,3,CE UG,-73.424,40.773,2
Line_95,79,3,RAV A-3,-73.264,40.379,2
Line_96,80,3,NORTHPORT,-73.145,40.852,2
Line_97,81,3,GOETHALS,-73.775,40.491,2
Line_98,82,3,AK-3,-73.783,40.745,2
Line_228,83,4,KEITH,-82.905,42.11,2
Line_230,85,4,LAMBTON,-82.443,42.544,2
Line_229,86,4,LAMBTON,-82.476,42.81,2
Line_103,88,4,SCOTT,-81.917,42.81,2
Line_104,88,4,SCOTT,-81.917,42.81,2
Line_110,89,4,SCOTT,-82.205,42.911,2
Line_113,90,4,VIDA,-82.468,43.255,2
Line_117,92,4,HANMER,-81.095,46.482,2
Line_118,93,4,ESSA,-79.639,44.733,2
Line_123,94,4,ORANGEVILLE,-80.101,44,2
Line_119,95,4,DES JOAC,-78.102,46.087,2
Line_124,95,4,DES JOAC,-78.102,46.087,2
Line_126,96,4,HOLDEN,-79.523,46.194,2
Line_122,97,4,MARTINDELE,-81.349,46.199,2
Line_127,97,4,MARTINDELE,-81.349,46.199,2
Line_120,98,4,STLA,-75.953,44.637,2
Line_128,99,4,PVR,-75.372,44.976,2
Line_221,100,4,PHAS,-74.853,45.066,2
Line_129,100,4,PHAS,-74.853,45.066,2
Line_63,102,4,BP 76,-79.349,43.266,2
Line_231,102,4,BP 76,-79.349,43.266,2
Line_64,103,4,PA 27,-79.317,43.069,2
Line_232,103,4,PA 27,-79.317,43.069,2
Line_130,104,4,BEACH,-80.019,43.148,2
Line_105,105,4,BUCHANAN,-81.486,42.731,2
Line_106,105,4,BUCHANAN,-81.486,42.731,2
Line_111,105,4,BUCHANAN,-81.486,42.731,2
Line_112,105,4,BUCHANAN,-81.486,42.731,2
Line_114,105,4,BUCHANAN,-81.486,42.731,2
Line_131,105,4,BUCHANAN,-81.486,42.731,2
Line_136,106,4,NEALE,-80.921,43.137,2
Line_138,106,4,NEALE,-80.921,43.137,2
Line_132,107,4,NEALE,-80.793,42.99,2
Line_139,107,4,NEALE,-80.793,42.99,2
Line_133,108,4,S CT,-79.781,43.706,2
Line_134,109,4,SLT,-79.94,43.34,2
Line_121,110,4,BURLINGTON,-79.644,43.103,2
Line_135,110,4,BURLINGTON,-79.644,43.103,2
Line_137,110,4,BURLINGTON,-79.644,43.103,2
Line_143,110,4,BURLINGTON,-79.644,43.103,2
Line_144,110,4,BURLINGTON,-79.644,43.103,2
Line_146,110,4,BURLINGTON,-79.644,43.103,2
Line_125,111,4,DETWIERER,-80.754,43.52,2
Line_140,111,4,DETWIERER,-80.754,43.52,2
Line_145,111,4,DETWIERER,-80.754,43.52,2
Line_147,111,4,DETWIERER,-80.754,43.52,2
Line_100,112,4,CHATHAM,-81.565,42.206,2
Line_107,112,4,CHATHAM,-81.565,42.206,2
Line_108,112,4,CHATHAM,-81.565,42.206,2
Line_141,112,4,CHATHAM,-81.565,42.206,2
Line_101,113,4,LAUZON,-82.123,42.003,2
Line_115,113,4,LAUZON,-82.123,42.003,2
Line_142,113,4,LAUZON,-82.123,42.003,2
Line_148,113,4,LAUZON,-82.123,42.003,2
Line_116,114,5,MARYSVILLE,-82.763,42.911,2
Line_109,115,5,ST CLAIR,-82.77,42.629,2
Line_102,116,5,WATERMAN,-82.921,42.324,2
Line_152,116,5,WATERMAN,-82.921,42.324,2
Line_149,117,5,PONTIAC,-83.488,42.573,2
Line_153,117,5,PONTIAC,-83.488,42.573,2
Line_159,117,5,PONTIAC,-83.488,42.573,2
Line_154,118,5,WAYNE,-83.495,42.127,2
Line_160,118,5,WAYNE,-83.495,42.127,2
Line_164,118,5,WAYNE,-83.495,42.127,2
Line_150,119,5,THETFORD,-83.633,43.109,2
Line_155,119,5,THETFORD,-83.633,43.109,2
Line_165,119,5,THETFORD,-83.633,43.109,2
Line_161,120,5,ARGENTA,-85.755,43.199,2
Line_166,120,5,ARGENTA,-85.755,43.199,2
Line_169,120,5,ARGENTA,-85.755,43.199,2
Line_173,120,5,ARGENTA,-85.755,43.199,2
Line_151,121,5,SC415,-83.145,42.494,2
Line_156,121,5,SC415,-83.145,42.494,2
Line_162,121,5,SC415,-83.145,42.494,2
Line_167,121,5,SC415,-83.145,42.494,2
Line_170,121,5,SC415,-83.145,42.494,2
Line_174,121,5,SC415,-83.145,42.494,2
Line_163,122,5,WATERMAN,-83.201,42.319,2
Line_168,122,5,WATERMAN,-83.201,42.319,2
Line_171,122,5,WATERMAN,-83.201,42.319,2
Line_175,122,5,WATERMAN,-83.201,42.319,2
Line_172,123,5,MONROE,-83.502,41.619,2
Line_93,124,6,BRANCHBURG,-74.709,40.627,2
Line_99,125,6,LINDON,-74.301,40.486,2
Line_178,125,6,LINDON,-74.301,40.486,2
Line_179,126,6,HUDSON,-74.047,40.892,2
Line_182,126,6,HUDSON,-74.047,40.892,2
Line_180,127,6,ALBURTIS,-75.706,40.779,2
Line_184,127,6,ALBURTIS,-75.706,40.779,2
Line_181,128,6,WHITPAIN,-75.202,40.136,2
Line_183,128,6,WHITPAIN,-75.202,40.136,2
Line_185,128,6,WHITPAIN,-75.202,40.136,2
Line_187,128,6,WHITPAIN,-75.202,40.136,2
Line_189,129,6,KEENEY,-75.68,39.837,2
Line_190,130,6,PEACH BOTTOM,-76.079,39.91,2
Line_191,130,6,PEACH BOTTOM,-76.079,39.91,2
Line_192,131,6,CONASTONE,-76.518,39.961,2
Line_188,132,6,JUNIATA,-77.389,40.638,2
Line_193,132,6,JUNIATA,-77.389,40.638,2
Line_194,133,6,CONEMAUGH,-79.096,40.435,2
Line_197,133,6,CONEMAUGH,-79.096,40.435,2
Line_80,134,6,HOMER CITY,-78.826,41.072,2
Line_198,134,6,HOMER CITY,-78.826,41.072,2
Line_157,135,6,KEYSTONE,-79.408,40.785,2
Line_176,135,6,KEYSTONE,-79.408,40.785,2
Line_195,135,6,KEYSTONE,-79.408,40.785,2
Line_199,135,6,KEYSTONE,-79.408,40.785,2
Line_201,135,6,KEYSTONE,-79.408,40.785,2
Line_202,135,6,KEYSTONE,-79.408,40.785,2
Line_203,136,6,ERIE W,-80.295,41.665,2
Line_233,136,6,ERIE W,-80.295,41.665,2
Line_83,138,6,E TOMANO,-76.266,41.715,2
Line_186,138,6,E TOMANO,-76.266,41.715,2
Line_200,138,6,E TOMANO,-76.266,41.715,2
Line_206,138,6,E TOMANO,-76.266,41.715,2
Line_158,139,6,KYGER,-82.212,38.94,2
Line_177,139,6,KYGER,-82.212,38.94,2
Line_196,139,6,KYGER,-82.212,38.94,2
Line_204,139,6,KYGER,-82.212,38.94,2
Line_205,139,6,KYGER,-82.212,38.94,2
Line_72,140,6,TE,-79.283,41.952,2
