NYISOName,PTID,UnitType,FuelType,Zone,NamePlateRatingMW,maxPower,minPower,maxRampAgc,maxRamp10,maxRamp30,maxRamp60,HeatRateLM_1,HeatRateLM_2,HeatRateLMR2
"Astoria Energy 2 - CC3",323677,Combined Cycle,Natural Gas,J,330,313,173,2.71666666666667,27.1666666666667,81.5,163,192.644759334996,6.64137341625619,0.983935183233685
"Astoria Energy 2 - CC4",323678,Combined Cycle,Natural Gas,J,330,313,167,2.59166666666667,25.9166666666667,77.75,155.5,192.607702901738,6.53765259369679,0.984176448171494
"CPV_VALLEY___CC1",323721,Combined Cycle,Natural Gas,G,385,361,253,1.86666666666667,18.6666666666667,56,112,-333.030111148809,7.88990539141104,0.878008829635729
"CPV_VALLEY___CC2",323722,Combined Cycle,Natural Gas,G,385,362,251,2.13333333333333,21.3333333333333,64,128,-290.510061388044,7.74552808762995,0.898048529826396
"Indeck-Corinth",23802,Combined Cycle,Natural Gas,F,147,140,125,0.333333333333333,3.33333333333333,10,20,527.168098575901,4.09425292035481,0.598710242872921
"Ravenswood CC 04",23820,Combined Cycle,Natural Gas,J,250,286,158,2.3,23,69,138,784.865632261453,4.01623501247745,0.59060992473616
"Selkirk-I",23801,Combined Cycle,Natural Gas,F,107.2,143,72,1.05,10.5,31.5,63,238.228233620743,5.78919768767805,0.751475561729715
"Astoria East Energy - CC2",323582,Combined Cycle,Natural Gas,J,320,313,169,2.65833333333333,26.5833333333333,79.75,159.5,407.384739149732,5.39774587944187,0.777187783971167
"Agg-A-Combined Cycle-Natural Gas",<undefined>,Combined Cycle,Natural Gas,A,219,192,13,0.519,5.19,15.57,31.14,0,7.633,0
"Agg-A-Combustion Turbine-Natural Gas",<undefined>,Combustion Turbine,Natural Gas,A,51.1,49.8,0,0.713,7.13,21.39,42.78,0,11.098,0
"Agg-A-Steam Turbine-Natural Gas",<undefined>,Steam Turbine,Natural Gas,A,25,25,0,0.417,4.17,12.51,25.02,0,10.347,0
"Agg-B-Combined Cycle-Natural Gas",<undefined>,Combined Cycle,Natural Gas,B,134.3,109,13,0.417,4.17,12.51,25.02,0,7.633,0
"Agg-C-Combined Cycle-Natural Gas",<undefined>,Combined Cycle,Natural Gas,C,284.3,250.7,0,0.681,6.81,20.43,40.86,0,7.633,0
"Agg-D-Combined Cycle-Natural Gas",<undefined>,Combined Cycle,Natural Gas,D,102.1,55,8.8,0.433,4.33,12.99,25.98,0,7.633,0
"Agg-E-Combined Cycle-Natural Gas",<undefined>,Combined Cycle,Natural Gas,E,236,202,10.1,0.51,5.1,15.3,30.6,0,7.633,0
"Agg-F-Combined Cycle-Natural Gas",<undefined>,Combined Cycle,Natural Gas,F,168.9,162,27.5,0.422,4.22,12.66,25.32,0,7.633,0
"Agg-G-Steam Turbine-Natural Gas",<undefined>,Steam Turbine,Natural Gas,G,145.5,144,15,0.605,6.05,18.15,36.3,0,10.347,0
"Agg-J-Combined Cycle-Natural Gas",<undefined>,Combined Cycle,Natural Gas,J,121.2,136,5,0.453,4.53,13.59,27.18,0,7.633,0
"Agg-J-Combustion Turbine-Fuel Oil",<undefined>,Combustion Turbine,Fuel Oil,J,512,512,0,0.356,3.56,10.68,21.36,0,13.315,0
"Agg-J-Combustion Turbine-Natural Gas",<undefined>,Combustion Turbine,Natural Gas,J,506,477,0,0.472,4.72,14.16,28.32,0,11.098,0
"Agg-J-Jet Engine-Kerosene",<undefined>,Jet Engine,Kerosene,J,608,558,0,0.681,6.81,20.43,40.86,0,11.098,0
"Agg-K-Combined Cycle-Natural Gas",<undefined>,Combined Cycle,Natural Gas,K,316.6,278,22,0.568,5.68,17.04,34.08,0,7.633,0
"Agg-K-Combustion Turbine-Fuel Oil",<undefined>,Combustion Turbine,Fuel Oil,K,499.8,555.4,0,0.769,7.69,23.07,46.14,0,13.315,0
"Agg-K-Combustion Turbine-Natural Gas",<undefined>,Combustion Turbine,Natural Gas,K,712.5,695,0,0.568,5.68,17.04,34.08,0,11.098,0
"Agg-K-Jet Engine-Fuel Oil",<undefined>,Jet Engine,Fuel Oil,K,585.6,224.3,0,0.333,3.33,9.99,19.98,0,13.315,0
"Agg-K-Jet Engine-Kerosene",<undefined>,Jet Engine,Kerosene,K,60.5,54,31,0.608,6.08,18.24,36.48,0,11.098,0
"Agg-K-Jet Engine-Natural Gas",<undefined>,Jet Engine,Natural Gas,K,227.7,227.2,0,0.658,6.58,19.74,39.48,0,11.098,0
"Agg-K-Internal Combustion-Fuel Oil",<undefined>,Internal Combustion,Fuel Oil,K,6.2,6.2,0,0.103,1.03,3.09,6.18,0,10.325,0
